Precio,Habitaciones,Baños,Tamaño,Ubicación
500000000.0,3,3,128,"Calle 38 #89a-24, Cristóbal, Medel..."
360000000.0,4,2,130,"79q5+r6, Medellín, San Cristóbal, ..."
85000000.0,2,1,47,"Manrique, Medellín, Antioquia, Col..."
420000000.0,5,3,128,"San Joaquín, Medellín, Antioquia"
7000000000.0,6,8,900,"Las Palmas, Medellín, Antioquia"
298000000.0,3,3,89,"Las Cometas, Aures I, Medellín, An..."
3500000000.0,3,4,432,"Poblado Alto De Las Palmas, Medell..."
230000000.0,3,1,77,Colombia / Antioquia / La Estrella...
7200000000.0,7,7,970,"El Poblado, Medellín, Antioquia"
6500000000.0,4,5,700,"El Poblado, Medellín, Antioquia"
2500000000.0,4,6,521,"El Poblado, Medellín, Antioquia"
1200000000.0,8,5,420,"Calle 30 #80, Medellín, Belén, Med..."
295000000.0,3,2,76,"Cl. 42 Sur #65a-70, San Antonio De..."
1100000000.0,2,3,215,"Medellín, Antioquia"
5800000000.0,4,5,600,"Las Palmas, Medellín, Antioquia"
1650000000.0,5,6,390,"El Poblado, Medellín, Antioquia"
1550000000.0,4,5,267,"Loma De Los Balsos, Medellín, Anti..."
790000000.0,3,4,139,"San Lucas, Medellín, Antioquia"
220000000.0,4,3,101,"Belén Las Violetas, Medellín, Anti..."
185000000.0,5,2,100,"Medellín, Antioquia, Colombia, Bel..."
310000000.0,3,3,103,"Buenos Aires, Medellín, Antioquia,..."
2100000000.0,6,350,,"Las Palmas, Medellín, Antioquia"
1200000000.0,4,5,150,"El Poblado, Medellín, Antioquia"
3700000000.0,4,4,455,"Calle 16b #23-17, El Poblado, Mede..."
3500000000.0,5,5,650,"El Poblado, Medellín, Antioquia"
4180000000.0,5,8,400,"Cl 16b #23-17, El Poblado, Medellí..."
820000000.0,5,3,269,"Boston, Medellín, Antioquia"
590000000.0,3,2,120,"Calasanz, Medellín, Antioquia"
740000000.0,6,4,290,"Prado Centro, Medellín, Antioquia"
1500000000.0,3,4,235,"La Concha, Medellín, Antioquia"
1085000000.0,4,4,373,"El Poblado, El Campestre, Medellín..."
4000000000.0,4,5,477,"El Poblado, Medellín, Antioquia"
785000000.0,8,8,300,"Medellín, Antioquia"
390000000.0,4,2,78,"Calasanz, Medellín, Antioquia"
330000000.0,4,2,120,"Buenos Aires, Medellín, Antioquia"
3800000000.0,4,4,900,"Las Palmas, Medellín, Antioquia"
570000000.0,5,3,173,"Calle 40 #81a-168, Simón Bolívar, ..."
4000000000.0,4,4,720,"Cra. 24b #17-25, El Poblado, Medel..."
1200000000.0,4,5,228,"Carrera 24b, Altos Del Poblado, El..."
1200000000.0,5,4,249,"Medellín, Antioquia"
1380000000.0,5,5,217,"El Poblado, Medellín, Antioquia, C..."
260000000.0,3,3,90,"Robledo / La Campiña, Medellín, An..."
1050000000.0,4,4,250,"Loma De Los González, Poblado, Med..."
445000000.0,4,2,193,"Villa Hermosa, Medellín, Antioquia"
165000000.0,3,1,74,"La Campiña, El Cucaracho, Robledo,..."
210000000.0,4,3,69,"Calle 40a Sur, San Antonio De Prad..."
670000000.0,3,3,137,"La Castellana, Medellín, Antioquia"
600000000.0,3,2,119,"Cra. 70, Medellín, Antioquia, Colo..."
500000000.0,3,3,128,"Calle 38 #89a-24, Cristóbal, Medel..."
360000000.0,4,2,130,"79q5+r6, Medellín, San Cristóbal, ..."
85000000.0,2,1,47,"Manrique, Medellín, Antioquia, Col..."
420000000.0,5,3,128,"San Joaquín, Medellín, Antioquia"
7000000000.0,6,8,900,"Las Palmas, Medellín, Antioquia"
298000000.0,3,3,89,"Las Cometas, Aures I, Medellín, An..."
3500000000.0,3,4,432,"Poblado Alto De Las Palmas, Medell..."
230000000.0,3,1,77,Colombia / Antioquia / La Estrella...
7200000000.0,7,7,970,"El Poblado, Medellín, Antioquia"
6500000000.0,4,5,700,"El Poblado, Medellín, Antioquia"
2500000000.0,4,6,521,"El Poblado, Medellín, Antioquia"
1200000000.0,8,5,420,"Calle 30 #80, Medellín, Belén, Med..."
295000000.0,3,2,76,"Cl. 42 Sur #65a-70, San Antonio De..."
1100000000.0,2,3,215,"Medellín, Antioquia"
5800000000.0,4,5,600,"Las Palmas, Medellín, Antioquia"
1650000000.0,5,6,390,"El Poblado, Medellín, Antioquia"
1550000000.0,4,5,267,"Loma De Los Balsos, Medellín, Anti..."
790000000.0,3,4,139,"San Lucas, Medellín, Antioquia"
220000000.0,4,3,101,"Belén Las Violetas, Medellín, Anti..."
185000000.0,5,2,100,"Medellín, Antioquia, Colombia, Bel..."
310000000.0,3,3,103,"Buenos Aires, Medellín, Antioquia,..."
2100000000.0,6,350,,"Las Palmas, Medellín, Antioquia"
1200000000.0,4,5,150,"El Poblado, Medellín, Antioquia"
3700000000.0,4,4,455,"Calle 16b #23-17, El Poblado, Mede..."
3500000000.0,5,5,650,"El Poblado, Medellín, Antioquia"
4180000000.0,5,8,400,"Cl 16b #23-17, El Poblado, Medellí..."
820000000.0,5,3,269,"Boston, Medellín, Antioquia"
590000000.0,3,2,120,"Calasanz, Medellín, Antioquia"
740000000.0,6,4,290,"Prado Centro, Medellín, Antioquia"
1500000000.0,3,4,235,"La Concha, Medellín, Antioquia"
1085000000.0,4,4,373,"El Poblado, El Campestre, Medellín..."
4000000000.0,4,5,477,"El Poblado, Medellín, Antioquia"
785000000.0,8,8,300,"Medellín, Antioquia"
390000000.0,4,2,78,"Calasanz, Medellín, Antioquia"
330000000.0,4,2,120,"Buenos Aires, Medellín, Antioquia"
3800000000.0,4,4,900,"Las Palmas, Medellín, Antioquia"
570000000.0,5,3,173,"Calle 40 #81a-168, Simón Bolívar, ..."
4000000000.0,4,4,720,"Cra. 24b #17-25, El Poblado, Medel..."
1200000000.0,4,5,228,"Carrera 24b, Altos Del Poblado, El..."
1200000000.0,5,4,249,"Medellín, Antioquia"
1380000000.0,5,5,217,"El Poblado, Medellín, Antioquia, C..."
260000000.0,3,3,90,"Robledo / La Campiña, Medellín, An..."
1050000000.0,4,4,250,"Loma De Los González, Poblado, Med..."
445000000.0,4,2,193,"Villa Hermosa, Medellín, Antioquia"
165000000.0,3,1,74,"La Campiña, El Cucaracho, Robledo,..."
210000000.0,4,3,69,"Calle 40a Sur, San Antonio De Prad..."
670000000.0,3,3,137,"La Castellana, Medellín, Antioquia"
600000000.0,3,2,119,"Cra. 70, Medellín, Antioquia, Colo..."
500000000.0,3,3,128,"Calle 38 #89a-24, Cristóbal, Medel..."
360000000.0,4,2,130,"79q5+r6, Medellín, San Cristóbal, ..."
85000000.0,2,1,47,"Manrique, Medellín, Antioquia, Col..."
420000000.0,5,3,128,"San Joaquín, Medellín, Antioquia"
7000000000.0,6,8,900,"Las Palmas, Medellín, Antioquia"
298000000.0,3,3,89,"Las Cometas, Aures I, Medellín, An..."
3500000000.0,3,4,432,"Poblado Alto De Las Palmas, Medell..."
230000000.0,3,1,77,Colombia / Antioquia / La Estrella...
7200000000.0,7,7,970,"El Poblado, Medellín, Antioquia"
6500000000.0,4,5,700,"El Poblado, Medellín, Antioquia"
2500000000.0,4,6,521,"El Poblado, Medellín, Antioquia"
1200000000.0,8,5,420,"Calle 30 #80, Medellín, Belén, Med..."
295000000.0,3,2,76,"Cl. 42 Sur #65a-70, San Antonio De..."
1100000000.0,2,3,215,"Medellín, Antioquia"
5800000000.0,4,5,600,"Las Palmas, Medellín, Antioquia"
1650000000.0,5,6,390,"El Poblado, Medellín, Antioquia"
1550000000.0,4,5,267,"Loma De Los Balsos, Medellín, Anti..."
790000000.0,3,4,139,"San Lucas, Medellín, Antioquia"
220000000.0,4,3,101,"Belén Las Violetas, Medellín, Anti..."
185000000.0,5,2,100,"Medellín, Antioquia, Colombia, Bel..."
310000000.0,3,3,103,"Buenos Aires, Medellín, Antioquia,..."
2100000000.0,6,350,,"Las Palmas, Medellín, Antioquia"
1200000000.0,4,5,150,"El Poblado, Medellín, Antioquia"
3700000000.0,4,4,455,"Calle 16b #23-17, El Poblado, Mede..."
3500000000.0,5,5,650,"El Poblado, Medellín, Antioquia"
4180000000.0,5,8,400,"Cl 16b #23-17, El Poblado, Medellí..."
820000000.0,5,3,269,"Boston, Medellín, Antioquia"
590000000.0,3,2,120,"Calasanz, Medellín, Antioquia"
740000000.0,6,4,290,"Prado Centro, Medellín, Antioquia"
1500000000.0,3,4,235,"La Concha, Medellín, Antioquia"
1085000000.0,4,4,373,"El Poblado, El Campestre, Medellín..."
4000000000.0,4,5,477,"El Poblado, Medellín, Antioquia"
785000000.0,8,8,300,"Medellín, Antioquia"
390000000.0,4,2,78,"Calasanz, Medellín, Antioquia"
330000000.0,4,2,120,"Buenos Aires, Medellín, Antioquia"
3800000000.0,4,4,900,"Las Palmas, Medellín, Antioquia"
570000000.0,5,3,173,"Calle 40 #81a-168, Simón Bolívar, ..."
4000000000.0,4,4,720,"Cra. 24b #17-25, El Poblado, Medel..."
1200000000.0,4,5,228,"Carrera 24b, Altos Del Poblado, El..."
1200000000.0,5,4,249,"Medellín, Antioquia"
1380000000.0,5,5,217,"El Poblado, Medellín, Antioquia, C..."
260000000.0,3,3,90,"Robledo / La Campiña, Medellín, An..."
1050000000.0,4,4,250,"Loma De Los González, Poblado, Med..."
445000000.0,4,2,193,"Villa Hermosa, Medellín, Antioquia"
165000000.0,3,1,74,"La Campiña, El Cucaracho, Robledo,..."
210000000.0,4,3,69,"Calle 40a Sur, San Antonio De Prad..."
670000000.0,3,3,137,"La Castellana, Medellín, Antioquia"
600000000.0,3,2,119,"Cra. 70, Medellín, Antioquia, Colo..."
500000000.0,3,3,128,"Calle 38 #89a-24, Cristóbal, Medel..."
360000000.0,4,2,130,"79q5+r6, Medellín, San Cristóbal, ..."
85000000.0,2,1,47,"Manrique, Medellín, Antioquia, Col..."
420000000.0,5,3,128,"San Joaquín, Medellín, Antioquia"
7000000000.0,6,8,900,"Las Palmas, Medellín, Antioquia"
298000000.0,3,3,89,"Las Cometas, Aures I, Medellín, An..."
3500000000.0,3,4,432,"Poblado Alto De Las Palmas, Medell..."
230000000.0,3,1,77,Colombia / Antioquia / La Estrella...
7200000000.0,7,7,970,"El Poblado, Medellín, Antioquia"
6500000000.0,4,5,700,"El Poblado, Medellín, Antioquia"
2500000000.0,4,6,521,"El Poblado, Medellín, Antioquia"
1200000000.0,8,5,420,"Calle 30 #80, Medellín, Belén, Med..."
295000000.0,3,2,76,"Cl. 42 Sur #65a-70, San Antonio De..."
1100000000.0,2,3,215,"Medellín, Antioquia"
5800000000.0,4,5,600,"Las Palmas, Medellín, Antioquia"
1650000000.0,5,6,390,"El Poblado, Medellín, Antioquia"
1550000000.0,4,5,267,"Loma De Los Balsos, Medellín, Anti..."
790000000.0,3,4,139,"San Lucas, Medellín, Antioquia"
220000000.0,4,3,101,"Belén Las Violetas, Medellín, Anti..."
185000000.0,5,2,100,"Medellín, Antioquia, Colombia, Bel..."
310000000.0,3,3,103,"Buenos Aires, Medellín, Antioquia,..."
2100000000.0,6,350,,"Las Palmas, Medellín, Antioquia"
1200000000.0,4,5,150,"El Poblado, Medellín, Antioquia"
3700000000.0,4,4,455,"Calle 16b #23-17, El Poblado, Mede..."
3500000000.0,5,5,650,"El Poblado, Medellín, Antioquia"
4180000000.0,5,8,400,"Cl 16b #23-17, El Poblado, Medellí..."
820000000.0,5,3,269,"Boston, Medellín, Antioquia"
590000000.0,3,2,120,"Calasanz, Medellín, Antioquia"
740000000.0,6,4,290,"Prado Centro, Medellín, Antioquia"
1500000000.0,3,4,235,"La Concha, Medellín, Antioquia"
1085000000.0,4,4,373,"El Poblado, El Campestre, Medellín..."
4000000000.0,4,5,477,"El Poblado, Medellín, Antioquia"
785000000.0,8,8,300,"Medellín, Antioquia"
390000000.0,4,2,78,"Calasanz, Medellín, Antioquia"
330000000.0,4,2,120,"Buenos Aires, Medellín, Antioquia"
3800000000.0,4,4,900,"Las Palmas, Medellín, Antioquia"
570000000.0,5,3,173,"Calle 40 #81a-168, Simón Bolívar, ..."
4000000000.0,4,4,720,"Cra. 24b #17-25, El Poblado, Medel..."
1200000000.0,4,5,228,"Carrera 24b, Altos Del Poblado, El..."
1200000000.0,5,4,249,"Medellín, Antioquia"
1380000000.0,5,5,217,"El Poblado, Medellín, Antioquia, C..."
260000000.0,3,3,90,"Robledo / La Campiña, Medellín, An..."
1050000000.0,4,4,250,"Loma De Los González, Poblado, Med..."
445000000.0,4,2,193,"Villa Hermosa, Medellín, Antioquia"
165000000.0,3,1,74,"La Campiña, El Cucaracho, Robledo,..."
210000000.0,4,3,69,"Calle 40a Sur, San Antonio De Prad..."
670000000.0,3,3,137,"La Castellana, Medellín, Antioquia"
600000000.0,3,2,119,"Cra. 70, Medellín, Antioquia, Colo..."
500000000.0,3,3,128,"Calle 38 #89a-24, Cristóbal, Medel..."
360000000.0,4,2,130,"79q5+r6, Medellín, San Cristóbal, ..."
85000000.0,2,1,47,"Manrique, Medellín, Antioquia, Col..."
420000000.0,5,3,128,"San Joaquín, Medellín, Antioquia"
7000000000.0,6,8,900,"Las Palmas, Medellín, Antioquia"
298000000.0,3,3,89,"Las Cometas, Aures I, Medellín, An..."
3500000000.0,3,4,432,"Poblado Alto De Las Palmas, Medell..."
230000000.0,3,1,77,Colombia / Antioquia / La Estrella...
7200000000.0,7,7,970,"El Poblado, Medellín, Antioquia"
6500000000.0,4,5,700,"El Poblado, Medellín, Antioquia"
2500000000.0,4,6,521,"El Poblado, Medellín, Antioquia"
1200000000.0,8,5,420,"Calle 30 #80, Medellín, Belén, Med..."
295000000.0,3,2,76,"Cl. 42 Sur #65a-70, San Antonio De..."
1100000000.0,2,3,215,"Medellín, Antioquia"
5800000000.0,4,5,600,"Las Palmas, Medellín, Antioquia"
1650000000.0,5,6,390,"El Poblado, Medellín, Antioquia"
1550000000.0,4,5,267,"Loma De Los Balsos, Medellín, Anti..."
790000000.0,3,4,139,"San Lucas, Medellín, Antioquia"
220000000.0,4,3,101,"Belén Las Violetas, Medellín, Anti..."
185000000.0,5,2,100,"Medellín, Antioquia, Colombia, Bel..."
310000000.0,3,3,103,"Buenos Aires, Medellín, Antioquia,..."
2100000000.0,6,350,,"Las Palmas, Medellín, Antioquia"
1200000000.0,4,5,150,"El Poblado, Medellín, Antioquia"
3700000000.0,4,4,455,"Calle 16b #23-17, El Poblado, Mede..."
3500000000.0,5,5,650,"El Poblado, Medellín, Antioquia"
4180000000.0,5,8,400,"Cl 16b #23-17, El Poblado, Medellí..."
820000000.0,5,3,269,"Boston, Medellín, Antioquia"
590000000.0,3,2,120,"Calasanz, Medellín, Antioquia"
740000000.0,6,4,290,"Prado Centro, Medellín, Antioquia"
1500000000.0,3,4,235,"La Concha, Medellín, Antioquia"
1085000000.0,4,4,373,"El Poblado, El Campestre, Medellín..."
4000000000.0,4,5,477,"El Poblado, Medellín, Antioquia"
785000000.0,8,8,300,"Medellín, Antioquia"
390000000.0,4,2,78,"Calasanz, Medellín, Antioquia"
330000000.0,4,2,120,"Buenos Aires, Medellín, Antioquia"
3800000000.0,4,4,900,"Las Palmas, Medellín, Antioquia"
570000000.0,5,3,173,"Calle 40 #81a-168, Simón Bolívar, ..."
4000000000.0,4,4,720,"Cra. 24b #17-25, El Poblado, Medel..."
1200000000.0,4,5,228,"Carrera 24b, Altos Del Poblado, El..."
1200000000.0,5,4,249,"Medellín, Antioquia"
1380000000.0,5,5,217,"El Poblado, Medellín, Antioquia, C..."
260000000.0,3,3,90,"Robledo / La Campiña, Medellín, An..."
1050000000.0,4,4,250,"Loma De Los González, Poblado, Med..."
445000000.0,4,2,193,"Villa Hermosa, Medellín, Antioquia"
165000000.0,3,1,74,"La Campiña, El Cucaracho, Robledo,..."
210000000.0,4,3,69,"Calle 40a Sur, San Antonio De Prad..."
670000000.0,3,3,137,"La Castellana, Medellín, Antioquia"
600000000.0,3,2,119,"Cra. 70, Medellín, Antioquia, Colo..."
500000000.0,3,3,128,"Calle 38 #89a-24, Cristóbal, Medel..."
360000000.0,4,2,130,"79q5+r6, Medellín, San Cristóbal, ..."
85000000.0,2,1,47,"Manrique, Medellín, Antioquia, Col..."
420000000.0,5,3,128,"San Joaquín, Medellín, Antioquia"
7000000000.0,6,8,900,"Las Palmas, Medellín, Antioquia"
298000000.0,3,3,89,"Las Cometas, Aures I, Medellín, An..."
3500000000.0,3,4,432,"Poblado Alto De Las Palmas, Medell..."
230000000.0,3,1,77,Colombia / Antioquia / La Estrella...
7200000000.0,7,7,970,"El Poblado, Medellín, Antioquia"
6500000000.0,4,5,700,"El Poblado, Medellín, Antioquia"
2500000000.0,4,6,521,"El Poblado, Medellín, Antioquia"
1200000000.0,8,5,420,"Calle 30 #80, Medellín, Belén, Med..."
295000000.0,3,2,76,"Cl. 42 Sur #65a-70, San Antonio De..."
1100000000.0,2,3,215,"Medellín, Antioquia"
5800000000.0,4,5,600,"Las Palmas, Medellín, Antioquia"
1650000000.0,5,6,390,"El Poblado, Medellín, Antioquia"
1550000000.0,4,5,267,"Loma De Los Balsos, Medellín, Anti..."
790000000.0,3,4,139,"San Lucas, Medellín, Antioquia"
220000000.0,4,3,101,"Belén Las Violetas, Medellín, Anti..."
185000000.0,5,2,100,"Medellín, Antioquia, Colombia, Bel..."
310000000.0,3,3,103,"Buenos Aires, Medellín, Antioquia,..."
2100000000.0,6,350,,"Las Palmas, Medellín, Antioquia"
1200000000.0,4,5,150,"El Poblado, Medellín, Antioquia"
3700000000.0,4,4,455,"Calle 16b #23-17, El Poblado, Mede..."
3500000000.0,5,5,650,"El Poblado, Medellín, Antioquia"
4180000000.0,5,8,400,"Cl 16b #23-17, El Poblado, Medellí..."
820000000.0,5,3,269,"Boston, Medellín, Antioquia"
590000000.0,3,2,120,"Calasanz, Medellín, Antioquia"
740000000.0,6,4,290,"Prado Centro, Medellín, Antioquia"
1500000000.0,3,4,235,"La Concha, Medellín, Antioquia"
1085000000.0,4,4,373,"El Poblado, El Campestre, Medellín..."
4000000000.0,4,5,477,"El Poblado, Medellín, Antioquia"
785000000.0,8,8,300,"Medellín, Antioquia"
390000000.0,4,2,78,"Calasanz, Medellín, Antioquia"
330000000.0,4,2,120,"Buenos Aires, Medellín, Antioquia"
3800000000.0,4,4,900,"Las Palmas, Medellín, Antioquia"
570000000.0,5,3,173,"Calle 40 #81a-168, Simón Bolívar, ..."
4000000000.0,4,4,720,"Cra. 24b #17-25, El Poblado, Medel..."
1200000000.0,4,5,228,"Carrera 24b, Altos Del Poblado, El..."
1200000000.0,5,4,249,"Medellín, Antioquia"
1380000000.0,5,5,217,"El Poblado, Medellín, Antioquia, C..."
260000000.0,3,3,90,"Robledo / La Campiña, Medellín, An..."
1050000000.0,4,4,250,"Loma De Los González, Poblado, Med..."
445000000.0,4,2,193,"Villa Hermosa, Medellín, Antioquia"
165000000.0,3,1,74,"La Campiña, El Cucaracho, Robledo,..."
210000000.0,4,3,69,"Calle 40a Sur, San Antonio De Prad..."
670000000.0,3,3,137,"La Castellana, Medellín, Antioquia"
600000000.0,3,2,119,"Cra. 70, Medellín, Antioquia, Colo..."
500000000.0,3,3,128,"Calle 38 #89a-24, Cristóbal, Medel..."
360000000.0,4,2,130,"79q5+r6, Medellín, San Cristóbal, ..."
85000000.0,2,1,47,"Manrique, Medellín, Antioquia, Col..."
420000000.0,5,3,128,"San Joaquín, Medellín, Antioquia"
7000000000.0,6,8,900,"Las Palmas, Medellín, Antioquia"
298000000.0,3,3,89,"Las Cometas, Aures I, Medellín, An..."
3500000000.0,3,4,432,"Poblado Alto De Las Palmas, Medell..."
230000000.0,3,1,77,Colombia / Antioquia / La Estrella...
7200000000.0,7,7,970,"El Poblado, Medellín, Antioquia"
6500000000.0,4,5,700,"El Poblado, Medellín, Antioquia"
2500000000.0,4,6,521,"El Poblado, Medellín, Antioquia"
1200000000.0,8,5,420,"Calle 30 #80, Medellín, Belén, Med..."
295000000.0,3,2,76,"Cl. 42 Sur #65a-70, San Antonio De..."
1100000000.0,2,3,215,"Medellín, Antioquia"
5800000000.0,4,5,600,"Las Palmas, Medellín, Antioquia"
1650000000.0,5,6,390,"El Poblado, Medellín, Antioquia"
1550000000.0,4,5,267,"Loma De Los Balsos, Medellín, Anti..."
790000000.0,3,4,139,"San Lucas, Medellín, Antioquia"
220000000.0,4,3,101,"Belén Las Violetas, Medellín, Anti..."
185000000.0,5,2,100,"Medellín, Antioquia, Colombia, Bel..."
310000000.0,3,3,103,"Buenos Aires, Medellín, Antioquia,..."
2100000000.0,6,350,,"Las Palmas, Medellín, Antioquia"
1200000000.0,4,5,150,"El Poblado, Medellín, Antioquia"
3700000000.0,4,4,455,"Calle 16b #23-17, El Poblado, Mede..."
3500000000.0,5,5,650,"El Poblado, Medellín, Antioquia"
4180000000.0,5,8,400,"Cl 16b #23-17, El Poblado, Medellí..."
820000000.0,5,3,269,"Boston, Medellín, Antioquia"
590000000.0,3,2,120,"Calasanz, Medellín, Antioquia"
740000000.0,6,4,290,"Prado Centro, Medellín, Antioquia"
1500000000.0,3,4,235,"La Concha, Medellín, Antioquia"
1085000000.0,4,4,373,"El Poblado, El Campestre, Medellín..."
4000000000.0,4,5,477,"El Poblado, Medellín, Antioquia"
785000000.0,8,8,300,"Medellín, Antioquia"
390000000.0,4,2,78,"Calasanz, Medellín, Antioquia"
330000000.0,4,2,120,"Buenos Aires, Medellín, Antioquia"
3800000000.0,4,4,900,"Las Palmas, Medellín, Antioquia"
570000000.0,5,3,173,"Calle 40 #81a-168, Simón Bolívar, ..."
4000000000.0,4,4,720,"Cra. 24b #17-25, El Poblado, Medel..."
1200000000.0,4,5,228,"Carrera 24b, Altos Del Poblado, El..."
1200000000.0,5,4,249,"Medellín, Antioquia"
1380000000.0,5,5,217,"El Poblado, Medellín, Antioquia, C..."
260000000.0,3,3,90,"Robledo / La Campiña, Medellín, An..."
1050000000.0,4,4,250,"Loma De Los González, Poblado, Med..."
445000000.0,4,2,193,"Villa Hermosa, Medellín, Antioquia"
165000000.0,3,1,74,"La Campiña, El Cucaracho, Robledo,..."
210000000.0,4,3,69,"Calle 40a Sur, San Antonio De Prad..."
670000000.0,3,3,137,"La Castellana, Medellín, Antioquia"
600000000.0,3,2,119,"Cra. 70, Medellín, Antioquia, Colo..."
500000000.0,3,3,128,"Calle 38 #89a-24, Cristóbal, Medel..."
360000000.0,4,2,130,"79q5+r6, Medellín, San Cristóbal, ..."
85000000.0,2,1,47,"Manrique, Medellín, Antioquia, Col..."
420000000.0,5,3,128,"San Joaquín, Medellín, Antioquia"
7000000000.0,6,8,900,"Las Palmas, Medellín, Antioquia"
298000000.0,3,3,89,"Las Cometas, Aures I, Medellín, An..."
3500000000.0,3,4,432,"Poblado Alto De Las Palmas, Medell..."
230000000.0,3,1,77,Colombia / Antioquia / La Estrella...
7200000000.0,7,7,970,"El Poblado, Medellín, Antioquia"
6500000000.0,4,5,700,"El Poblado, Medellín, Antioquia"
2500000000.0,4,6,521,"El Poblado, Medellín, Antioquia"
1200000000.0,8,5,420,"Calle 30 #80, Medellín, Belén, Med..."
295000000.0,3,2,76,"Cl. 42 Sur #65a-70, San Antonio De..."
1100000000.0,2,3,215,"Medellín, Antioquia"
5800000000.0,4,5,600,"Las Palmas, Medellín, Antioquia"
1650000000.0,5,6,390,"El Poblado, Medellín, Antioquia"
1550000000.0,4,5,267,"Loma De Los Balsos, Medellín, Anti..."
790000000.0,3,4,139,"San Lucas, Medellín, Antioquia"
220000000.0,4,3,101,"Belén Las Violetas, Medellín, Anti..."
185000000.0,5,2,100,"Medellín, Antioquia, Colombia, Bel..."
310000000.0,3,3,103,"Buenos Aires, Medellín, Antioquia,..."
2100000000.0,6,350,,"Las Palmas, Medellín, Antioquia"
1200000000.0,4,5,150,"El Poblado, Medellín, Antioquia"
3700000000.0,4,4,455,"Calle 16b #23-17, El Poblado, Mede..."
3500000000.0,5,5,650,"El Poblado, Medellín, Antioquia"
4180000000.0,5,8,400,"Cl 16b #23-17, El Poblado, Medellí..."
820000000.0,5,3,269,"Boston, Medellín, Antioquia"
590000000.0,3,2,120,"Calasanz, Medellín, Antioquia"
740000000.0,6,4,290,"Prado Centro, Medellín, Antioquia"
1500000000.0,3,4,235,"La Concha, Medellín, Antioquia"
1085000000.0,4,4,373,"El Poblado, El Campestre, Medellín..."
4000000000.0,4,5,477,"El Poblado, Medellín, Antioquia"
785000000.0,8,8,300,"Medellín, Antioquia"
390000000.0,4,2,78,"Calasanz, Medellín, Antioquia"
330000000.0,4,2,120,"Buenos Aires, Medellín, Antioquia"
3800000000.0,4,4,900,"Las Palmas, Medellín, Antioquia"
570000000.0,5,3,173,"Calle 40 #81a-168, Simón Bolívar, ..."
4000000000.0,4,4,720,"Cra. 24b #17-25, El Poblado, Medel..."
1200000000.0,4,5,228,"Carrera 24b, Altos Del Poblado, El..."
1200000000.0,5,4,249,"Medellín, Antioquia"
1380000000.0,5,5,217,"El Poblado, Medellín, Antioquia, C..."
260000000.0,3,3,90,"Robledo / La Campiña, Medellín, An..."
1050000000.0,4,4,250,"Loma De Los González, Poblado, Med..."
445000000.0,4,2,193,"Villa Hermosa, Medellín, Antioquia"
165000000.0,3,1,74,"La Campiña, El Cucaracho, Robledo,..."
210000000.0,4,3,69,"Calle 40a Sur, San Antonio De Prad..."
670000000.0,3,3,137,"La Castellana, Medellín, Antioquia"
600000000.0,3,2,119,"Cra. 70, Medellín, Antioquia, Colo..."
500000000.0,3,3,128,"Calle 38 #89a-24, Cristóbal, Medel..."
360000000.0,4,2,130,"79q5+r6, Medellín, San Cristóbal, ..."
85000000.0,2,1,47,"Manrique, Medellín, Antioquia, Col..."
420000000.0,5,3,128,"San Joaquín, Medellín, Antioquia"
7000000000.0,6,8,900,"Las Palmas, Medellín, Antioquia"
298000000.0,3,3,89,"Las Cometas, Aures I, Medellín, An..."
3500000000.0,3,4,432,"Poblado Alto De Las Palmas, Medell..."
230000000.0,3,1,77,Colombia / Antioquia / La Estrella...
7200000000.0,7,7,970,"El Poblado, Medellín, Antioquia"
6500000000.0,4,5,700,"El Poblado, Medellín, Antioquia"
2500000000.0,4,6,521,"El Poblado, Medellín, Antioquia"
1200000000.0,8,5,420,"Calle 30 #80, Medellín, Belén, Med..."
295000000.0,3,2,76,"Cl. 42 Sur #65a-70, San Antonio De..."
1100000000.0,2,3,215,"Medellín, Antioquia"
5800000000.0,4,5,600,"Las Palmas, Medellín, Antioquia"
1650000000.0,5,6,390,"El Poblado, Medellín, Antioquia"
1550000000.0,4,5,267,"Loma De Los Balsos, Medellín, Anti..."
790000000.0,3,4,139,"San Lucas, Medellín, Antioquia"
220000000.0,4,3,101,"Belén Las Violetas, Medellín, Anti..."
185000000.0,5,2,100,"Medellín, Antioquia, Colombia, Bel..."
310000000.0,3,3,103,"Buenos Aires, Medellín, Antioquia,..."
2100000000.0,6,350,,"Las Palmas, Medellín, Antioquia"
1200000000.0,4,5,150,"El Poblado, Medellín, Antioquia"
3700000000.0,4,4,455,"Calle 16b #23-17, El Poblado, Mede..."
3500000000.0,5,5,650,"El Poblado, Medellín, Antioquia"
4180000000.0,5,8,400,"Cl 16b #23-17, El Poblado, Medellí..."
820000000.0,5,3,269,"Boston, Medellín, Antioquia"
590000000.0,3,2,120,"Calasanz, Medellín, Antioquia"
740000000.0,6,4,290,"Prado Centro, Medellín, Antioquia"
1500000000.0,3,4,235,"La Concha, Medellín, Antioquia"
1085000000.0,4,4,373,"El Poblado, El Campestre, Medellín..."
4000000000.0,4,5,477,"El Poblado, Medellín, Antioquia"
785000000.0,8,8,300,"Medellín, Antioquia"
390000000.0,4,2,78,"Calasanz, Medellín, Antioquia"
330000000.0,4,2,120,"Buenos Aires, Medellín, Antioquia"
3800000000.0,4,4,900,"Las Palmas, Medellín, Antioquia"
